"행정구역","2025년06월_남_총인구수","2025년06월_남_연령구간인구수","2025년06월_남_0~9세","2025년06월_남_10~19세","2025년06월_남_20~29세","2025년06월_남_30~39세","2025년06월_남_40~49세","2025년06월_남_50~59세","2025년06월_남_60~69세","2025년06월_남_70~79세","2025년06월_남_80~89세","2025년06월_남_90~99세","2025년06월_남_100세 이상","2025년06월_여_총인구수","2025년06월_여_연령구간인구수","2025년06월_여_0~9세","2025년06월_여_10~19세","2025년06월_여_20~29세","2025년06월_여_30~39세","2025년06월_여_40~49세","2025년06월_여_50~59세","2025년06월_여_60~69세","2025년06월_여_70~79세","2025년06월_여_80~89세","2025년06월_여_90~99세","2025년06월_여_100세 이상"
"경상북도 경산시 서부2동(4729054200)","19,800","19,800","1,938","1,769","2,200","2,983","3,200","3,192","2,668","1,277","527","45","1","21,726","21,726","1,924","1,897","1,989","3,039","3,279","3,920","3,041","1,684","833","119","1"
"경상북도 경산시 북부동(4729055000)","8,758","8,758","330","435","2,279","1,322","1,217","1,306","1,083","553","214","19","0","7,515","7,515","319","482","2,050","935","738","1,051","979","596","302","60","3"
"경상북도 경산시 동부동(4729056000)","17,749","17,749","929","2,045","2,624","2,016","2,674","3,240","2,516","1,211","451","43","0","17,640","17,640","843","1,817","1,936","1,672","2,740","3,353","2,869","1,466","773","167","4"
"경상북도 의성군 (4773000000)","24,197","24,197","705","1,156","1,168","1,527","2,224","4,153","6,428","4,377","2,190","268","1","24,128","24,128","636","896","886","1,118","1,585","3,056","5,910","4,879","4,224","917","21"
"경상북도 의성군 의성읍(4773025000)","6,066","6,066","302","524","483","537","743","1,075","1,184","850","327","41","0","6,086","6,086","220","424","354","422","718","872","1,300","988","668","118","2"
"경상북도 의성군 단촌면(4773031000)","921","921","19","25","31","51","75","155","283","171","97","14","0","923","923","16","17","21","32","42","90","271","196","209","27","2"
"경상북도 의성군 점곡면(4773032000)","758","758","18","21","26","36","52","120","226","167","85","7","0","727","727","6","8","19","24","24","76","200","177","161","32","0"
"경상북도 의성군 옥산면(4773033000)","849","849","16","14","25","39","58","150","284","180","72","11","0","834","834","11","18","17","22","34","121","245","185","149","32","0"
"경상북도 의성군 사곡면(4773034000)","750","750","9","16","20","22","54","132","240","169","76","11","1","760","760","8","10","22","15","22","87","221","148","178","47","2"
"경상북도 의성군 춘산면(4773035000)","761","761","21","30","17","29","45","104","268","157","81","9","0","706","706","12","26","10","30","32","86","222","138","116","33","1"
"경상북도 의성군 가음면(4773036000)","730","730","9","15","20","25","57","106","254","160","72","12","0","685","685","17","10","15","29","28","90","192","151","129","23","1"
"경상북도 의성군 금성면(4773037000)","2,030","2,030","47","69","75","101","174","349","553","417","218","27","0","2,020","2,020","51","52","57","78","108","231","508","469","378","85","3"
"경상북도 의성군 봉양면(4773038000)","1,952","1,952","47","166","100","126","185","347","486","326","148","21","0","1,900","1,900","64","68","83","101","126","259","442","390","286","80","1"
"경상북도 의성군 비안면(4773039000)","1,247","1,247","26","26","40","67","109","210","373","267","114","15","0","1,249","1,249","36","26","33","40","52","147","313","286","248","66","2"
"경상북도 의성군 구천면(4773040000)","840","840","17","10","30","36","58","148","260","174","94","13","0","809","809","19","15","13","30","25","100","198","189","177","43","0"
"경상북도 의성군 단밀면(4773041000)","788","788","11","25","32","45","59","121","261","122","100","12","0","790","790","11","24","19","24","27","110","196","169","177","32","1"
"경상북도 의성군 단북면(4773042000)","807","807","15","24","25","46","70","172","208","153","80","14","0","837","837","13","17","20","27","35","90","206","188","194","47","0"
