"행정구역","2025년06월_남_총인구수","2025년06월_남_연령구간인구수","2025년06월_남_0~9세","2025년06월_남_10~19세","2025년06월_남_20~29세","2025년06월_남_30~39세","2025년06월_남_40~49세","2025년06월_남_50~59세","2025년06월_남_60~69세","2025년06월_남_70~79세","2025년06월_남_80~89세","2025년06월_남_90~99세","2025년06월_남_100세 이상","2025년06월_여_총인구수","2025년06월_여_연령구간인구수","2025년06월_여_0~9세","2025년06월_여_10~19세","2025년06월_여_20~29세","2025년06월_여_30~39세","2025년06월_여_40~49세","2025년06월_여_50~59세","2025년06월_여_60~69세","2025년06월_여_70~79세","2025년06월_여_80~89세","2025년06월_여_90~99세","2025년06월_여_100세 이상"
"서울특별시  (1100000000)","4,497,354","4,497,354","241,342","368,462","603,620","726,407","677,823","728,421","625,398","362,183","148,795","14,562","341","4,828,262","4,828,262","229,243","353,216","683,357","725,831","694,048","752,136","693,998","441,196","216,178","37,903","1,156"
"서울특별시 종로구 (1111000000)","66,315","66,315","2,698","4,586","9,630","9,900","8,839","11,416","10,479","5,620","2,773","361","13","71,700","71,700","2,600","4,775","11,007","9,960","9,531","11,760","10,478","6,620","4,157","786","26"
"서울특별시 종로구 청운효자동(1111051500)","4,982","4,982","274","516","625","702","742","873","620","374","228","25","3","5,982","5,982","250","505","666","809","991","1,023","787","542","339","69","1"
"서울특별시 종로구 사직동(1111053000)","3,919","3,919","191","263","432","633","587","660","589","296","225","39","4","4,990","4,990","196","350","583","802","794","802","674","430","289","68","2"
"서울특별시 종로구 삼청동(1111054000)","1,025","1,025","33","91","114","123","146","152","176","122","59","9","0","1,121","1,121","39","64","104","153","151","174","190","135","89","22","0"
"서울특별시 종로구 부암동(1111055000)","4,219","4,219","187","414","522","575","594","726","624","363","189","25","0","4,792","4,792","169","347","504","626","735","882","747","451","267","61","3"
"서울특별시 종로구 평창동(1111056000)","8,011","8,011","488","748","912","975","1,063","1,373","1,344","703","344","59","2","9,223","9,223","421","774","944","1,066","1,339","1,702","1,488","830","512","138","9"
"서울특별시 종로구 무악동(1111057000)","3,580","3,580","221","374","364","383","567","715","521","276","137","22","0","4,237","4,237","273","503","446","421","664","693","601","364","239","33","0"
"서울특별시 종로구 교남동(1111058000)","4,368","4,368","322","362","479","636","754","807","524","315","155","14","0","5,131","5,131","333","392","557","771","870","855","641","443","233","36","0"
"서울특별시 종로구 가회동(1111060000)","1,720","1,720","86","142","164","240","267","308","263","160","79","11","0","1,987","1,987","54","142","195","269","307","340","295","209","149","25","2"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,033","4,033","84","108","452","621","493","711","871","473","195","23","2","2,652","2,652","64","102","471","431","329","342","404","281","193","34","1"
"서울특별시 종로구 종로5.6가동(1111063000)","2,751","2,751","72","83","452","535","326","452","467","233","118","13","0","2,533","2,533","64","103","601","448","237","346","346","222","143","23","0"
"서울특별시 종로구 이화동(1111064000)","3,260","3,260","69","163","662","624","393","483","454","262","134","16","0","3,782","3,782","83","160","920","625","400","503","490","342","216","43","0"
"서울특별시 종로구 혜화동(1111065000)","7,545","7,545","224","590","2,085","1,049","881","1,093","814","469","306","33","1","8,217","8,217","226","588","2,161","981","934","1,195","901","669","472","84","6"
"서울특별시 종로구 창신제1동(1111067000)","2,359","2,359","55","81","272","325","252","404","591","267","105","7","0","2,123","2,123","50","77","256","275","204","376","439","264","160","22","0"
"서울특별시 종로구 창신제2동(1111068000)","3,735","3,735","71","153","429","526","404","797","814","384","136","20","1","3,505","3,505","70","136","389","372","321","736","747","432","268","34","0"
"서울특별시 종로구 창신제3동(1111069000)","3,033","3,033","124","192","377","476","390","527","556","264","105","22","0","3,170","3,170","126","211","348","438","370","603","548","307","190","29","0"
"서울특별시 종로구 숭인제1동(1111070000)","2,785","2,785","85","163","342","413","393","527","487","264","104","7","0","2,964","2,964","84","164","369","387","380","523","522","308","188","37","2"
"서울특별시 종로구 숭인제2동(1111071000)","4,990","4,990","112","143","947","1,064","587","808","764","395","154","16","0","5,291","5,291","98","157","1,493","1,086","505","665","658","391","210","28","0"
"서울특별시 중구 (1114000000)","57,267","57,267","2,605","2,935","7,233","10,619","8,190","9,150","8,954","5,110","2,211","252","8","61,830","61,830","2,491","2,964","9,027","10,676","8,014","9,067","9,132","6,100","3,627","719","13"
"서울특별시 중구 소공동(1114052000)","1,003","1,003","71","55","66","196","260","165","104","55","27","4","0","1,172","1,172","66","97","138","235","282","155","102","61","31","5","0"
"서울특별시 중구 회현동(1114054000)","2,212","2,212","71","105","197","262","233","401","509","295","121","18","0","2,065","2,065","71","96","199","278","246","342","374","283","136","39","1"
"서울특별시 중구 명동(1114055000)","1,032","1,032","25","52","124","162","138","191","180","111","43","6","0","1,475","1,475","18","62","178","161","186","245","287","194","114","30","0"
"서울특별시 중구 필동(1114057000)","2,221","2,221","65","100","397","449","294","327","312","175","87","15","0","2,108","2,108","67","101","417","416","239","246","274","192","110","44","2"
"서울특별시 중구 장충동(1114058000)","2,381","2,381","64","126","689","383","239","318","271","185","92","13","1","2,210","2,210","40","157","590","262","230","283","267","214","142","25","0"
"서울특별시 중구 광희동(1114059000)","2,789","2,789","62","84","429","684","350","386","443","244","100","7","0","2,945","2,945","51","96","699","623","327","314","381","274","155","25","0"
"서울특별시 중구 을지로동(1114060500)","1,638","1,638","57","30","158","490","269","204","237","138","50","5","0","1,376","1,376","64","53","208","394","228","149","131","86","56","7","0"
"서울특별시 중구 신당동(1114061500)","3,601","3,601","99","100","471","702","503","613","615","346","141","11","0","3,786","3,786","116","137","727","648","454","507","568","362","222","43","2"
"서울특별시 중구 다산동(1114062500)","6,303","6,303","193","361","884","1,125","826","1,078","959","580","274","23","0","6,755","6,755","198","300","971","1,028","847","1,056","1,144","708","424","78","1"
"서울특별시 중구 약수동(1114063500)","7,302","7,302","383","423","760","1,116","1,007","1,171","1,239","791","367","44","1","8,557","8,557","370","413","864","1,203","1,058","1,378","1,466","1,021","650","132","2"
"서울특별시 중구 청구동(1114064500)","5,156","5,156","266","308","570","963","679","824","821","491","215","18","1","5,925","5,925","258","292","677","1,004","685","935","955","632","408","79","0"
"서울특별시 중구 신당제5동(1114065000)","4,869","4,869","203","229","594","927","702","890","778","371","154","20","1","5,179","5,179","201","253","768","956","629","793","759","502","277","41","0"
"서울특별시 중구 동화동(1114066500)","4,716","4,716","297","359","500","610","668","796","842","440","177","26","1","5,127","5,127","261","344","530","676","669","918","855","481","329","64","0"
"서울특별시 중구 황학동(1114067000)","6,156","6,156","314","215","818","1,594","940","839","801","457","159","18","1","6,996","6,996","262","236","1,343","1,645","951","859","815","558","274","52","1"
"서울특별시 중구 중림동(1114068000)","5,888","5,888","435","388","576","956","1,082","947","843","431","204","24","2","6,154","6,154","448","327","718","1,147","983","887","754","532","299","55","4"
"서울특별시 용산구 (1117000000)","96,925","96,925","5,082","6,532","12,217","18,119","14,456","15,652","13,880","7,172","3,314","482","19","106,202","106,202","4,927","6,310","14,978","18,909","14,724","16,677","14,493","8,736","5,391","1,024","33"
"서울특별시 용산구 후암동(1117051000)","7,546","7,546","319","570","969","1,444","1,070","1,215","1,089","607","237","24","2","8,224","8,224","286","481","1,090","1,390","1,121","1,327","1,228","746","472","78","5"
"서울특별시 용산구 용산2가동(1117052000)","4,247","4,247","113","205","648","875","638","568","584","393","204","19","0","4,361","4,361","105","188","581","785","519","639","687","506","287","63","1"
"서울특별시 용산구 남영동(1117053000)","4,109","4,109","60","108","363","622","454","908","1,020","407","148","17","2","2,620","2,620","53","87","397","499","307","433","424","240","155","23","2"
"서울특별시 용산구 청파동(1117055500)","8,551","8,551","212","429","1,437","1,771","1,088","1,467","1,212","613","296","24","2","9,996","9,996","208","484","2,446","1,662","1,046","1,424","1,312","849","491","71","3"
"서울특별시 용산구 원효로제1동(1117056000)","7,879","7,879","530","492","1,031","1,992","1,258","1,091","877","439","143","26","0","9,261","9,261","509","448","1,735","2,346","1,339","1,149","956","477","255","46","1"
"서울특별시 용산구 원효로제2동(1117057000)","6,321","6,321","332","439","735","1,165","942","1,060","918","487","218","25","0","7,183","7,183","376","489","1,035","1,267","924","1,104","984","575","356","70","3"
"서울특별시 용산구 효창동(1117058000)","4,886","4,886","299","348","627","1,001","754","788","608","285","158","17","1","5,521","5,521","319","324","788","1,061","798","919","635","381","250","45","1"
"서울특별시 용산구 용문동(1117059000)","5,243","5,243","273","313","690","960","739","864","753","428","205","16","2","5,880","5,880","276","315","795","979","743","947","842","606","327","46","4"
"서울특별시 용산구 한강로동(1117062500)","9,930","9,930","600","460","1,256","2,307","1,402","1,477","1,415","688","284","41","0","11,134","11,134","599","476","1,694","2,672","1,466","1,673","1,388","675","400","88","3"
"서울특별시 용산구 이촌제1동(1117063000)","11,696","11,696","1,064","1,321","1,238","1,332","1,866","2,066","1,526","755","435","91","2","13,232","13,232","994","1,282","1,264","1,678","2,179","2,373","1,602","941","747","169","3"
"서울특별시 용산구 이촌제2동(1117064000)","3,642","3,642","197","210","360","686","564","560","562","339","140","24","0","4,106","4,106","200","213","386","657","559","634","715","441","255","45","1"
"서울특별시 용산구 이태원제1동(1117065000)","2,991","2,991","99","116","394","663","419","426","489","242","117","25","1","3,022","3,022","102","118","361","515","369","458","510","342","203","42","2"
"서울특별시 용산구 이태원제2동(1117066000)","4,001","4,001","165","198","557","868","615","575","515","302","174","31","1","4,434","4,434","130","216","572","813","645","653","638","421","295","51","0"
"서울특별시 용산구 한남동(1117068500)","6,516","6,516","428","466","700","1,117","1,159","1,007","878","493","235","32","1","7,379","7,379","413","419","751","1,368","1,225","1,203","984","637","313","65","1"
"서울특별시 용산구 서빙고동(1117069000)","5,873","5,873","310","657","754","696","1,003","966","846","397","186","53","5","6,350","6,350","292","640","724","753","1,057","1,095","859","476","371","81","2"
"서울특별시 용산구 보광동(1117070000)","3,494","3,494","81","200","458","620","485","614","588","297","134","17","0","3,499","3,499","65","130","359","464","427","646","729","423","214","41","1"
"서울특별시 성동구 (1120000000)","132,030","132,030","8,062","8,635","18,316","22,997","19,720","21,104","18,796","9,784","4,198","409","9","141,165","141,165","7,512","8,801","19,957","23,904","19,673","22,033","19,562","11,965","6,647","1,084","27"
"서울특별시 성동구 왕십리제2동(1120052000)","7,613","7,613","491","506","931","1,416","1,130","1,239","1,095","545","236","23","1","8,269","8,269","475","506","1,098","1,480","1,140","1,296","1,152","699","357","64","2"
"서울특별시 성동구 왕십리도선동(1120053500)","12,090","12,090","986","851","1,547","2,030","1,902","1,942","1,640","784","376","32","0","13,653","13,653","831","829","2,082","2,412","1,944","2,213","1,663","999","576","102","2"
"서울특별시 성동구 마장동(1120054000)","10,478","10,478","477","674","1,937","1,717","1,247","1,618","1,533","891","347","37","0","10,916","10,916","432","712","1,979","1,570","1,229","1,700","1,600","1,018","589","85","2"
"서울특별시 성동구 사근동(1120055000)","6,238","6,238","146","320","2,685","963","547","607","486","289","182","13","0","5,821","5,821","127","470","2,245","667","468","675","494","403","253","19","0"
"서울특별시 성동구 행당제1동(1120056000)","6,477","6,477","411","464","916","1,181","967","993","863","452","214","14","2","7,136","7,136","380","495","1,109","1,238","986","1,123","896","547","305","54","3"
"서울특별시 성동구 행당제2동(1120057000)","10,486","10,486","749","835","1,082","1,653","1,635","1,897","1,441","809","342","42","1","12,015","12,015","737","994","1,330","1,832","1,742","2,029","1,595","1,079","582","90","5"
"서울특별시 성동구 응봉동(1120058000)","6,889","6,889","462","725","724","1,000","1,123","1,222","875","483","245","30","0","7,668","7,668","415","686","831","1,060","1,301","1,320","949","653","396","57","0"
"서울특별시 성동구 금호1가동(1120059000)","6,840","6,840","509","509","673","1,061","1,238","1,091","951","576","210","22","0","7,591","7,591","462","514","720","1,203","1,203","1,167","1,158","711","375","76","2"
"서울특별시 성동구 금호2.3가동(1120061500)","9,830","9,830","699","594","1,061","1,773","1,657","1,579","1,363","753","318","31","2","10,906","10,906","705","560","1,098","1,964","1,659","1,694","1,587","995","555","85","4"
"서울특별시 성동구 금호4가동(1120062000)","6,587","6,587","577","462","568","1,115","1,218","1,033","862","517","208","26","1","7,424","7,424","522","446","631","1,286","1,257","1,114","1,045","681","370","71","1"
"서울특별시 성동구 옥수동(1120064500)","11,663","11,663","1,085","817","1,018","2,083","2,139","1,751","1,504","868","362","34","2","13,522","13,522","1,083","821","1,203","2,493","2,240","1,976","1,895","1,069","619","122","1"
"서울특별시 성동구 성수1가제1동(1120065000)","7,437","7,437","370","439","1,001","1,440","977","1,255","1,264","509","166","16","0","7,629","7,629","365","393","1,017","1,454","979","1,371","1,172","534","289","53","2"
"서울특별시 성동구 성수1가제2동(1120066000)","6,377","6,377","351","381","873","1,305","932","1,005","881","448","193","8","0","6,778","6,778","342","368","916","1,365","976","1,046","952","507","265","41","0"
"서울특별시 성동구 성수2가제1동(1120067000)","7,198","7,198","258","330","834","1,259","940","1,211","1,486","617","238","25","0","6,677","6,677","230","329","814","1,057","827","1,114","1,245","681","325","55","0"
"서울특별시 성동구 성수2가제3동(1120069000)","4,697","4,697","194","259","668","864","654","740","729","387","181","21","0","4,833","4,833","168","225","755","939","619","734","679","425","252","36","1"
"서울특별시 성동구 송정동(1120072000)","4,897","4,897","176","229","659","851","698","847","887","400","136","14","0","4,412","4,412","121","217","652","713","551","721","767","433","211","26","0"
"서울특별시 성동구 용답동(1120079000)","6,233","6,233","121","240","1,139","1,286","716","1,074","936","456","244","21","0","5,915","5,915","117","236","1,477","1,171","552","740","713","531","328","48","2"
"서울특별시 광진구 (1121500000)","159,503","159,503","7,068","11,610","25,880","28,107","22,622","25,137","22,039","11,638","4,903","482","17","173,593","173,593","6,790","11,384","30,558","28,398","23,623","26,753","23,922","14,036","6,896","1,202","31"
"서울특별시 광진구 화양동(1121571000)","10,823","10,823","140","295","4,180","2,556","1,039","1,053","803","497","240","20","0","12,220","12,220","131","424","5,766","2,376","910","871","785","618","294","42","3"
"서울특별시 광진구 군자동(1121573000)","9,144","9,144","271","502","1,943","1,767","1,202","1,240","1,217","679","304","19","0","9,468","9,468","248","426","2,131","1,663","1,170","1,241","1,297","784","438","66","4"
"서울특별시 광진구 중곡제1동(1121574000)","7,133","7,133","237","346","1,048","1,518","998","1,121","1,043","550","260","12","0","7,883","7,883","229","284","1,521","1,610","901","1,155","1,149","645","333","55","1"
"서울특별시 광진구 중곡제2동(1121575000)","9,403","9,403","355","601","1,372","1,787","1,280","1,494","1,433","750","311","20","0","10,533","10,533","331","560","1,694","1,853","1,301","1,713","1,660","955","399","67","0"
"서울특별시 광진구 중곡제3동(1121576000)","7,541","7,541","269","382","1,003","1,464","1,027","1,220","1,255","634","267","20","0","7,764","7,764","224","347","1,166","1,279","895","1,281","1,316","806","402","47","1"
"서울특별시 광진구 중곡제4동(1121577000)","13,080","13,080","443","817","1,750","2,090","1,678","2,263","2,285","1,240","482","29","3","13,866","13,866","404","745","1,758","1,933","1,662","2,603","2,538","1,460","654","106","3"
"서울특별시 광진구 능동(1121578000)","4,989","4,989","186","242","902","1,157","727","693","549","350","170","12","1","5,827","5,827","191","243","1,179","1,272","845","730","680","449","215","23","0"
"서울특별시 광진구 광장동(1121581000)","16,137","16,137","1,232","2,608","1,811","1,542","2,912","2,945","1,807","862","350","65","3","17,259","17,259","1,137","2,485","1,819","1,858","3,597","2,971","1,820","890","551","130","1"
"서울특별시 광진구 자양제1동(1121582000)","10,431","10,431","305","670","1,849","1,987","1,464","1,628","1,471","694","341","22","0","11,213","11,213","304","626","2,015","1,874","1,492","1,707","1,615","995","501","83","1"
"서울특별시 광진구 자양제2동(1121583000)","12,526","12,526","723","921","1,634","2,341","1,883","1,903","1,762","969","353","35","2","13,502","13,502","774","906","1,763","2,388","1,922","2,121","1,958","1,075","508","87","0"
"서울특별시 광진구 자양제3동(1121584000)","12,856","12,856","923","1,131","1,644","1,829","1,923","2,105","1,844","965","412","76","4","13,995","13,995","814","1,170","1,711","2,003","2,171","2,317","2,020","1,075","568","140","6"
"서울특별시 광진구 자양제4동(1121584700)","9,798","9,798","342","404","1,477","1,941","1,212","1,618","1,580","864","321","37","2","10,245","10,245","361","430","1,763","1,779","1,199","1,503","1,560","1,069","493","86","2"
"서울특별시 광진구 구의제1동(1121585000)","10,823","10,823","359","558","2,059","2,263","1,534","1,681","1,355","672","309","33","0","12,080","12,080","356","619","2,602","2,305","1,517","1,774","1,516","887","433","68","3"
"서울특별시 광진구 구의제2동(1121586000)","11,853","11,853","561","1,003","1,493","1,726","1,809","2,061","1,803","967","395","35","0","13,131","13,131","568","984","1,581","1,838","1,928","2,300","2,031","1,228","581","86","6"
"서울특별시 광진구 구의제3동(1121587000)","12,966","12,966","722","1,130","1,715","2,139","1,934","2,112","1,832","945","388","47","2","14,607","14,607","718","1,135","2,089","2,367","2,113","2,466","1,977","1,100","526","116","0"
"서울특별시 동대문구 (1123000000)","167,257","167,257","8,740","11,559","26,101","26,379","24,256","26,342","23,715","13,611","5,975","566","13","175,097","175,097","8,487","11,320","29,384","25,231","23,080","25,907","24,725","16,587","8,938","1,395","43"
"서울특별시 동대문구 용신동(1123053600)","19,158","19,158","908","978","3,127","3,611","2,864","2,977","2,670","1,344","611","67","1","19,671","19,671","901","910","3,778","3,650","2,583","2,782","2,421","1,596","912","134","4"
"서울특별시 동대문구 제기동(1123054500)","11,709","11,709","351","603","2,275","1,771","1,346","1,790","1,838","1,132","556","47","0","11,101","11,101","346","531","2,055","1,383","1,100","1,582","1,798","1,391","787","121","7"
"서울특별시 동대문구 전농제1동(1123056000)","16,205","16,205","898","1,088","2,328","2,452","2,382","2,772","2,422","1,260","550","53","0","16,414","16,414","894","1,074","2,489","2,286","2,278","2,609","2,302","1,497","836","143","6"
"서울특별시 동대문구 전농제2동(1123057000)","8,320","8,320","427","701","939","1,067","1,220","1,492","1,310","754","369","40","1","9,192","9,192","442","738","976","1,040","1,237","1,580","1,546","992","563","76","2"
"서울특별시 동대문구 답십리제1동(1123060000)","13,134","13,134","1,057","950","1,505","2,311","2,344","1,968","1,724","872","370","33","0","14,410","14,410","977","972","2,139","2,594","2,218","1,972","1,794","1,067","578","96","3"
"서울특별시 동대문구 답십리제2동(1123061000)","13,150","13,150","739","796","1,409","2,259","1,898","2,149","2,078","1,224","549","49","0","14,264","14,264","785","840","1,518","2,170","1,798","2,310","2,376","1,523","824","117","3"
"서울특별시 동대문구 장안제1동(1123065000)","18,212","18,212","971","1,237","2,064","3,091","2,981","2,921","2,694","1,607","606","38","2","18,961","18,961","857","1,236","2,613","2,954","2,792","2,839","2,932","1,845","770","120","3"
"서울특별시 동대문구 장안제2동(1123066000)","16,243","16,243","1,199","1,562","1,752","2,431","2,813","2,584","2,155","1,264","453","30","0","16,692","16,692","1,147","1,324","1,860","2,412","2,831","2,504","2,354","1,509","642","108","1"
"서울특별시 동대문구 청량리동(1123070500)","8,960","8,960","257","467","1,021","1,151","1,090","1,445","1,848","1,129","487","61","4","9,280","9,280","273","395","1,051","989","939","1,429","1,879","1,346","810","167","2"
"서울특별시 동대문구 회기동(1123071000)","4,813","4,813","142","364","1,499","807","513","611","419","279","159","18","2","5,417","5,417","139","385","1,870","674","577","575","508","388","255","46","0"
"서울특별시 동대문구 휘경제1동(1123072000)","6,083","6,083","271","382","1,439","1,024","782","837","702","418","200","28","0","7,024","7,024","302","392","2,126","989","742","912","688","527","305","38","3"
"서울특별시 동대문구 휘경제2동(1123073000)","11,991","11,991","459","932","2,981","1,658","1,453","1,748","1,432","918","376","32","2","12,027","12,027","410","987","2,677","1,459","1,444","1,736","1,588","1,086","555","82","3"
"서울특별시 동대문구 이문제1동(1123074000)","10,438","10,438","593","757","2,641","1,659","1,323","1,460","1,080","563","323","38","1","11,070","11,070","582","817","2,922","1,516","1,303","1,455","1,145","749","501","78","2"
"서울특별시 동대문구 이문제2동(1123075000)","8,841","8,841","468","742","1,121","1,087","1,247","1,588","1,343","847","366","32","0","9,574","9,574","432","719","1,310","1,115","1,238","1,622","1,394","1,071","600","69","4"
"서울특별시 중랑구 (1126000000)","184,512","184,512","8,681","11,916","21,786","29,675","26,581","30,870","31,041","16,827","6,571","551","13","192,961","192,961","8,367","11,286","24,387","28,497","24,483","31,694","33,061","19,869","9,647","1,622","48"
"서울특별시 중랑구 면목제2동(1126052000)","11,494","11,494","425","662","1,306","1,719","1,682","2,101","2,089","1,031","435","44","0","11,743","11,743","403","624","1,352","1,687","1,400","2,032","2,205","1,281","655","99","5"
"서울특별시 중랑구 면목제4동(1126054000)","8,770","8,770","377","545","1,035","1,247","1,303","1,592","1,473","827","345","23","3","8,919","8,919","347","501","983","1,181","1,191","1,500","1,530","1,112","514","59","1"
"서울특별시 중랑구 면목제5동(1126055000)","6,993","6,993","556","460","681","1,107","1,196","1,159","1,072","562","186","14","0","7,115","7,115","547","434","682","1,080","1,133","1,187","1,091","611","308","42","0"
"서울특별시 중랑구 면목본동(1126056500)","15,741","15,741","523","749","2,079","2,821","2,153","2,806","2,659","1,351","569","29","2","16,285","16,285","475","740","2,295","2,569","1,900","2,848","2,770","1,743","814","131","0"
"서울특별시 중랑구 면목제7동(1126057000)","10,308","10,308","497","564","1,161","1,664","1,445","1,792","1,742","1,023","382","37","1","10,494","10,494","442","468","1,245","1,599","1,258","1,686","1,936","1,235","523","101","1"
"서울특별시 중랑구 면목제3.8동(1126057500)","11,628","11,628","399","589","1,453","1,833","1,595","2,039","2,064","1,197","424","34","1","12,001","12,001","394","565","1,502","1,649","1,372","2,096","2,326","1,337","659","98","3"
"서울특별시 중랑구 상봉제1동(1126058000)","11,010","11,010","657","886","1,338","1,624","1,618","1,777","1,891","852","351","16","0","11,691","11,691","663","775","1,349","1,746","1,512","1,965","2,010","1,057","525","88","1"
"서울특별시 중랑구 상봉제2동(1126059000)","9,823","9,823","317","352","1,586","2,432","1,277","1,451","1,386","712","288","21","1","11,146","11,146","329","331","2,657","2,599","1,183","1,394","1,384","822","379","65","3"
"서울특별시 중랑구 중화제1동(1126060000)","8,974","8,974","404","571","1,013","1,549","1,321","1,351","1,521","884","329","30","1","9,158","9,158","363","546","1,038","1,386","1,127","1,451","1,726","1,020","444","56","1"
"서울특별시 중랑구 중화제2동(1126061000)","11,981","11,981","363","505","1,428","1,958","1,576","2,127","2,345","1,121","520","38","0","11,515","11,515","374","426","1,553","1,647","1,337","1,967","2,106","1,312","691","101","1"
"서울특별시 중랑구 묵제1동(1126062000)","15,778","15,778","754","1,477","1,971","2,243","2,364","2,646","2,304","1,383","586","50","0","17,432","17,432","769","1,352","2,445","2,270","2,529","2,859","2,647","1,670","757","131","3"
"서울특별시 중랑구 묵제2동(1126063000)","8,737","8,737","364","520","1,052","1,387","1,274","1,463","1,415","881","349","31","1","9,063","9,063","339","463","1,198","1,228","1,158","1,539","1,597","1,002","470","67","2"
"서울특별시 중랑구 망우본동(1126065500)","18,790","18,790","1,355","1,094","1,909","3,362","2,906","2,856","3,064","1,632","558","52","2","19,435","19,435","1,271","1,172","2,301","3,275","2,574","2,838","3,149","1,763","903","179","10"
"서울특별시 중랑구 망우제3동(1126066000)","7,698","7,698","245","382","865","1,070","986","1,414","1,594","799","310","33","0","7,618","7,618","233","422","868","917","830","1,449","1,467","906","425","100","1"
"서울특별시 중랑구 신내1동(1126068000)","17,733","17,733","983","1,887","1,983","2,277","2,563","2,815","2,934","1,623","616","52","0","19,238","19,238","966","1,817","1,942","2,294","2,672","3,214","3,262","1,882","976","201","12"
"서울특별시 중랑구 신내2동(1126069000)","9,054","9,054","462","673","926","1,382","1,322","1,481","1,488","949","323","47","1","10,108","10,108","452","650","977","1,370","1,307","1,669","1,855","1,116","604","104","4"
"서울특별시 성북구 (1129000000)","202,828","202,828","11,339","17,305","29,516","28,283","29,818","35,079","27,585","15,846","7,312","729","16","221,202","221,202","10,741","16,938","33,852","28,149","30,706","36,141","31,151","20,364","11,249","1,854","57"
"서울특별시 성북구 성북동(1129052500)","7,299","7,299","313","499","1,080","1,249","967","1,251","1,006","574","316","41","3","8,407","8,407","266","476","1,309","1,317","1,102","1,423","1,159","749","503","100","3"
"서울특별시 성북구 삼선동(1129055500)","10,324","10,324","356","738","1,860","1,485","1,379","1,930","1,352","769","414","38","3","11,481","11,481","320","786","2,254","1,537","1,390","1,870","1,526","1,023","684","89","2"
"서울특별시 성북구 동선동(1129057500)","6,002","6,002","168","307","1,353","1,138","821","880","695","395","228","17","0","8,858","8,858","184","560","3,322","1,282","832","955","767","539","347","66","4"
"서울특별시 성북구 돈암제1동(1129058000)","6,491","6,491","329","467","803","902","844","1,174","1,068","602","270","32","0","7,426","7,426","283","502","954","920","889","1,314","1,258","802","425","77","2"
"서울특별시 성북구 돈암제2동(1129059000)","10,851","10,851","751","1,276","1,253","1,295","1,673","2,045","1,451","748","324","35","0","12,138","12,138","730","1,238","1,304","1,399","1,985","2,253","1,650","934","517","124","4"
"서울특별시 성북구 안암동(1129060000)","7,732","7,732","177","412","2,895","1,204","718","938","740","404","220","24","0","7,733","7,733","182","392","2,830","955","669","958","796","535","349","66","1"
"서울특별시 성북구 보문동(1129061000)","7,661","7,661","431","465","1,118","1,398","1,180","1,297","1,005","505","236","26","0","8,323","8,323","426","497","1,358","1,348","1,076","1,389","1,111","687","374","55","2"
"서울특별시 성북구 정릉제1동(1129062000)","8,364","8,364","557","830","1,039","1,080","1,348","1,441","1,065","657","308","39","0","9,144","9,144","514","776","1,132","1,109","1,396","1,517","1,244","899","486","71","0"
"서울특별시 성북구 정릉제2동(1129063000)","10,550","10,550","555","792","1,372","1,450","1,481","1,841","1,620","987","401","50","1","11,460","11,460","539","716","1,448","1,455","1,476","1,961","1,870","1,195","685","112","3"
"서울특별시 성북구 정릉제3동(1129064000)","6,866","6,866","191","457","1,895","896","690","984","847","607","272","27","0","7,084","7,084","177","421","1,487","722","690","1,072","1,151","787","489","86","2"
"서울특별시 성북구 정릉제4동(1129065000)","11,316","11,316","533","955","1,491","1,418","1,583","2,105","1,673","1,045","466","47","0","12,443","12,443","515","883","1,509","1,417","1,677","2,186","2,016","1,379","737","120","4"
"서울특별시 성북구 길음제1동(1129066000)","16,743","16,743","1,362","2,518","1,694","1,677","3,218","3,239","1,583","951","464","37","0","18,746","18,746","1,347","2,608","1,871","2,078","3,736","3,048","1,970","1,291","687","107","3"
"서울특별시 성북구 길음제2동(1129068500)","10,217","10,217","956","1,048","1,163","1,306","1,769","1,809","1,221","679","237","28","1","11,244","11,244","906","1,010","1,350","1,476","1,972","1,917","1,337","827","380","66","3"
"서울특별시 성북구 종암동(1129070500)","18,091","18,091","928","1,721","2,683","2,356","2,597","3,137","2,552","1,348","674","91","4","18,621","18,621","879","1,466","2,516","2,100","2,732","3,113","2,733","1,771","1,096","208","7"
"서울특별시 성북구 월곡제1동(1129071500)","12,016","12,016","732","1,134","1,242","1,557","1,907","2,154","1,745","1,018","493","34","0","12,966","12,966","729","1,163","1,377","1,568","1,968","2,139","1,921","1,339","670","87","5"
"서울특별시 성북구 월곡제2동(1129072500)","8,740","8,740","369","666","1,270","1,349","1,135","1,462","1,283","790","385","31","0","9,695","9,695","303","585","2,065","1,196","1,148","1,404","1,407","969","510","105","3"
"서울특별시 성북구 장위제1동(1129076000)","11,104","11,104","624","851","1,366","1,621","1,678","1,932","1,767","876","361","28","0","11,725","11,725","621","859","1,422","1,470","1,567","2,120","1,910","1,116","565","75","0"
"서울특별시 성북구 장위제2동(1129077000)","7,387","7,387","349","435","925","1,199","1,059","1,257","1,113","720","299","30","1","7,701","7,701","306","416","949","1,133","929","1,248","1,272","928","440","77","3"
"서울특별시 성북구 장위제3동(1129078000)","8,855","8,855","864","729","1,017","1,314","1,560","1,460","1,121","562","210","18","0","9,184","9,184","806","700","1,115","1,426","1,460","1,512","1,190","638","290","46","1"
